input,the_rank,recommendation,type1,type2,abilities,generation,learn_more
Alomomola,6,Wailmer,water,,"Water Veil, Oblivious, Pressure",3,https://pokemondb.net/pokedex/Wailmer
Alomomola,7,Lanturn,water,electric,"Volt Absorb, Illuminate, Water Absorb",2,https://pokemondb.net/pokedex/Lanturn
Alomomola,8,Throh,fighting,,"Guts, Inner Focus, Mold Breaker",5,https://pokemondb.net/pokedex/Throh
Alomomola,9,Whiscash,water,ground,"Oblivious, Anticipation, Hydration",3,https://pokemondb.net/pokedex/Whiscash
Alomomola,10,Lapras,water,ice,"Water Absorb, Shell Armor, Hydration",1,https://pokemondb.net/pokedex/Lapras
Altaria,1,Mesprit,psychic,,Levitate,4,https://pokemondb.net/pokedex/Mesprit
Altaria,2,Kommo-o,dragon,fighting,"Bulletproof, Soundproof, Overcoat",7,https://pokemondb.net/pokedex/Kommo-o
Altaria,3,Venusaur,grass,poison,"Overgrow, Chlorophyll",1,https://pokemondb.net/pokedex/Venusaur
Altaria,4,Kingdra,water,dragon,"Swift Swim, Sniper, Damp",2,https://pokemondb.net/pokedex/Kingdra
Altaria,5,Blastoise,water,,"Torrent, Rain Dish",1,https://pokemondb.net/pokedex/Blastoise
Altaria,6,Volcanion,fire,water,Water Absorb,6,https://pokemondb.net/pokedex/Volcanion
Altaria,7,Genesect,bug,steel,Download,5,https://pokemondb.net/pokedex/Genesect
Altaria,8,Vanilluxe,ice,,"Ice Body, Snow Warning, Weak Armor",5,https://pokemondb.net/pokedex/Vanilluxe
Altaria,9,Magearna,steel,fairy,Soul-Heart,7,https://pokemondb.net/pokedex/Magearna
Altaria,10,Heatran,fire,steel,"Flash Fire, Flame Body",4,https://pokemondb.net/pokedex/Heatran
Amaura,1,Flaaffy,electric,,"Static, Plus",2,https://pokemondb.net/pokedex/Flaaffy
Amaura,2,Skiddo,grass,,"Sap Sipper, Grass Pelt",6,https://pokemondb.net/pokedex/Skiddo
Amaura,3,Shellos,water,,"Sticky Hold, Storm Drain, Sand Force",4,https://pokemondb.net/pokedex/Shellos
Amaura,4,Clefairy,fairy,,"Cute Charm, Magic Guard, Friend Guard",1,https://pokemondb.net/pokedex/Clefairy
Amaura,5,Snover,grass,ice,"Snow Warning, Soundproof",4,https://pokemondb.net/pokedex/Snover
Amaura,6,Lombre,water,grass,"Swift Swim, Rain Dish, Own Tempo",3,https://pokemondb.net/pokedex/Lombre
Amaura,7,Rowlet,grass,flying,"Overgrow, Long Reach",7,https://pokemondb.net/pokedex/Rowlet
Amaura,8,Nidorina,poison,,"Poison Point, Rivalry, Hustle",1,https://pokemondb.net/pokedex/Nidorina
Amaura,9,Loudred,normal,,"Soundproof, Scrappy",3,https://pokemondb.net/pokedex/Loudred
Amaura,10,Spritzee,fairy,,"Healer, Aroma Veil",6,https://pokemondb.net/pokedex/Spritzee
Ambipom,1,Cinccino,normal,,"Cute Charm, Technician, Skill Link",5,https://pokemondb.net/pokedex/Cinccino
Ambipom,2,Hawlucha,fighting,flying,"Limber, Unburden, Mold Breaker",6,https://pokemondb.net/pokedex/Hawlucha
Ambipom,3,Zebstrika,electric,,"Lightningrod, Motor Drive, Sap Sipper",5,https://pokemondb.net/pokedex/Zebstrika
Ambipom,4,Purugly,normal,,"Thick Fat, Own Tempo, Defiant",4,https://pokemondb.net/pokedex/Purugly
Ambipom,5,Dodrio,normal,flying,"Run Away, Early Bird, Tangled Feet",1,https://pokemondb.net/pokedex/Dodrio
Ambipom,6,Fearow,normal,flying,"Keen Eye, Sniper",1,https://pokemondb.net/pokedex/Fearow
Ambipom,7,Sawsbuck,normal,grass,"Chlorophyll, Sap Sipper, Serene Grace",5,https://pokemondb.net/pokedex/Sawsbuck
Ambipom,8,Primeape,fighting,,"Vital Spirit, Anger Point, Defiant",1,https://pokemondb.net/pokedex/Primeape
Ambipom,9,Talonflame,fire,flying,"Flame Body, Gale Wings",6,https://pokemondb.net/pokedex/Talonflame
Ambipom,10,Scyther,bug,flying,"Swarm, Technician, Steadfast",1,https://pokemondb.net/pokedex/Scyther
Amoonguss,1,Gastrodon,water,ground,"Sticky Hold, Storm Drain, Sand Force",4,https://pokemondb.net/pokedex/Gastrodon
Amoonguss,2,Aromatisse,fairy,,"Healer, Aroma Veil",6,https://pokemondb.net/pokedex/Aromatisse
Amoonguss,3,Stunfisk,ground,electric,"Static, Limber, Sand Veil",5,https://pokemondb.net/pokedex/Stunfisk
Amoonguss,4,Whiscash,water,ground,"Oblivious, Anticipation, Hydration",3,https://pokemondb.net/pokedex/Whiscash
Amoonguss,5,Dunsparce,normal,,"Serene Grace, Run Away, Rattled",2,https://pokemondb.net/pokedex/Dunsparce
Amoonguss,6,Lickilicky,normal,,"Own Tempo, Oblivious, Cloud Nine",4,https://pokemondb.net/pokedex/Lickilicky
Amoonguss,7,Aurorus,rock,ice,"Refrigerate, Snow Warning",6,https://pokemondb.net/pokedex/Aurorus
Amoonguss,8,Swalot,poison,,"Liquid Ooze, Sticky Hold, Gluttony",3,https://pokemondb.net/pokedex/Swalot
Amoonguss,9,Tropius,grass,flying,"Chlorophyll, Solar Power, Harvest",3,https://pokemondb.net/pokedex/Tropius
Amoonguss,10,Lapras,water,ice,"Water Absorb, Shell Armor, Hydration",1,https://pokemondb.net/pokedex/Lapras
Ampharos,1,Magearna,steel,fairy,Soul-Heart,7,https://pokemondb.net/pokedex/Magearna
Ampharos,2,Heatran,fire,steel,"Flash Fire, Flame Body",4,https://pokemondb.net/pokedex/Heatran
Ampharos,3,Abomasnow,grass,ice,"Snow Warning, Soundproof",4,https://pokemondb.net/pokedex/Abomasnow
Ampharos,4,Blastoise,water,,"Torrent, Rain Dish",1,https://pokemondb.net/pokedex/Blastoise
Ampharos,5,Volcanion,fire,water,Water Absorb,6,https://pokemondb.net/pokedex/Volcanion
Ampharos,6,Reshiram,dragon,fire,Turboblaze,5,https://pokemondb.net/pokedex/Reshiram
Ampharos,7,Necrozma,psychic,,Prism Armor,7,https://pokemondb.net/pokedex/Necrozma
Ampharos,8,Exeggutor,grass,psychic,"Chlorophyll, Harvest, Frisk, Harvest",1,https://pokemondb.net/pokedex/Exeggutor
Ampharos,9,Celesteela,steel,flying,Beast Boost,7,https://pokemondb.net/pokedex/Celesteela
Ampharos,10,Dialga,steel,dragon,"Pressure, Telepathy",4,https://pokemondb.net/pokedex/Dialga
Anorith,1,Trumbeak,normal,flying,"Keen Eye, Skill Link, Pickup",7,https://pokemondb.net/pokedex/Trumbeak
Anorith,2,Crabrawler,fighting,,"Hyper Cutter, Iron Fist, Anger Point",7,https://pokemondb.net/pokedex/Crabrawler
Anorith,3,Mienfoo,fighting,,"Inner Focus, Regenerator, Reckless",5,https://pokemondb.net/pokedex/Mienfoo
Anorith,4,Krokorok,ground,dark,"Intimidate, Moxie, Anger Point",5,https://pokemondb.net/pokedex/Krokorok
Anorith,5,Mankey,fighting,,"Vital Spirit, Anger Point, Defiant",1,https://pokemondb.net/pokedex/Mankey
Anorith,6,Doduo,normal,flying,"Run Away, Early Bird, Tangled Feet",1,https://pokemondb.net/pokedex/Doduo
Anorith,7,Larvesta,bug,fire,"Flame Body, Swarm",5,https://pokemondb.net/pokedex/Larvesta
Anorith,8,Staravia,normal,flying,"Intimidate, Reckless",4,https://pokemondb.net/pokedex/Staravia
Anorith,9,Drilbur,ground,,"Sand Rush, Sand Force, Mold Breaker",5,https://pokemondb.net/pokedex/Drilbur
Anorith,10,Karrablast,bug,,"Swarm, Shed Skin, No Guard",5,https://pokemondb.net/pokedex/Karrablast
Araquanid,1,Kecleon,normal,,"Color Change, Protean",3,https://pokemondb.net/pokedex/Kecleon
Araquanid,2,Scrafty,dark,fighting,"Shed Skin, Moxie, Intimidate",5,https://pokemondb.net/pokedex/Scrafty
Araquanid,3,Umbreon,dark,,"Synchronize, Inner Focus",2,https://pokemondb.net/pokedex/Umbreon
Araquanid,4,Claydol,ground,psychic,Levitate,3,https://pokemondb.net/pokedex/Claydol
Araquanid,5,Bronzong,steel,psychic,"Levitate, Heatproof, Heavy Metal",4,https://pokemondb.net/pokedex/Bronzong
Araquanid,6,Vespiquen,bug,flying,"Pressure, Unnerve",4,https://pokemondb.net/pokedex/Vespiquen
Araquanid,7,Wormadam,bug,grass,"Anticipation, Overcoat",4,https://pokemondb.net/pokedex/Wormadam
Araquanid,8,Dragalge,poison,dragon,"Poison Point, Poison Touch, Adaptability",6,https://pokemondb.net/pokedex/Dragalge
Araquanid,9,Corsola,water,rock,"Hustle, Natural Cure, Regenerator",2,https://pokemondb.net/pokedex/Corsola
Araquanid,10,Cradily,rock,grass,"Suction Cups, Storm Drain",3,https://pokemondb.net/pokedex/Cradily
Arbok,1,Watchog,normal,,"Illuminate, Keen Eye, Analytic",5,https://pokemondb.net/pokedex/Watchog
Arbok,2,Dragonair,dragon,,"Shed Skin, Marvel Scale",1,https://pokemondb.net/pokedex/Dragonair
Arbok,3,Bruxish,water,psychic,"Dazzling, Strong Jaw, Wonder Skin ",7,https://pokemondb.net/pokedex/Bruxish
Arbok,4,Primeape,fighting,,"Vital Spirit, Anger Point, Defiant",1,https://pokemondb.net/pokedex/Primeape
Arbok,5,Golbat,poison,flying,"Inner Focus, Infiltrator",1,https://pokemondb.net/pokedex/Golbat
Arbok,6,Leavanny,bug,grass,"Swarm, Chlorophyll, Overcoat",5,https://pokemondb.net/pokedex/Leavanny
Arbok,7,Seaking,water,,"Swift Swim, Water Veil, Lightningrod",1,https://pokemondb.net/pokedex/Seaking
Arbok,8,Mightyena,dark,,"Intimidate, Quick Feet, Moxie",3,https://pokemondb.net/pokedex/Mightyena
Arbok,9,Ponyta,fire,,"Run Away, Flash Fire, Flame Body",1,https://pokemondb.net/pokedex/Ponyta
Arbok,10,Volbeat,bug,,"Illuminate, Swarm, Prankster",3,https://pokemondb.net/pokedex/Volbeat
Arcanine,1,Glalie,ice,,"Inner Focus, Ice Body, Moody",3,https://pokemondb.net/pokedex/Glalie
Arcanine,2,Electivire,electric,,"Motor Drive, Vital Spirit",4,https://pokemondb.net/pokedex/Electivire
Arcanine,3,Silvally,normal,,RKS System,7,https://pokemondb.net/pokedex/Silvally
Arcanine,4,Moltres,fire,flying,"Pressure, Flame Body",1,https://pokemondb.net/pokedex/Moltres
Arcanine,5,Hydreigon,dark,dragon,Levitate,5,https://pokemondb.net/pokedex/Hydreigon
Arcanine,6,Entei,fire,,"Pressure, Inner Focus",2,https://pokemondb.net/pokedex/Entei
Arcanine,7,Samurott,water,,"Torrent, Shell Armor",5,https://pokemondb.net/pokedex/Samurott
Arcanine,8,Zapdos,electric,flying,"Pressure, Static",1,https://pokemondb.net/pokedex/Zapdos
Arcanine,9,Manaphy,water,,Hydration,4,https://pokemondb.net/pokedex/Manaphy
Arcanine,10,Victini,psychic,fire,Victory Star,5,https://pokemondb.net/pokedex/Victini
Arceus,1,Xerneas,fairy,,Fairy Aura,6,https://pokemondb.net/pokedex/Xerneas
Arceus,2,Yveltal,dark,flying,Dark Aura,6,https://pokemondb.net/pokedex/Yveltal
Arceus,3,Lunala,psychic,ghost,Shadow Shield,7,https://pokemondb.net/pokedex/Lunala
Arceus,4,Salamence,dragon,flying,"Intimidate, Moxie",3,https://pokemondb.net/pokedex/Salamence
Arceus,5,Celebi,psychic,grass,Natural Cure,2,https://pokemondb.net/pokedex/Celebi
Arceus,6,Manaphy,water,,Hydration,4,https://pokemondb.net/pokedex/Manaphy
Arceus,7,Jirachi,steel,psychic,Serene Grace,3,https://pokemondb.net/pokedex/Jirachi
Arceus,8,Victini,psychic,fire,Victory Star,5,https://pokemondb.net/pokedex/Victini
Arceus,9,Mew,psychic,,Synchronize,1,https://pokemondb.net/pokedex/Mew
Arceus,10,Solgaleo,psychic,steel,Full Metal Body,7,https://pokemondb.net/pokedex/Solgaleo
Archen,1,Mothim,bug,flying,"Swarm, Tinted Lens",4,https://pokemondb.net/pokedex/Mothim
Archen,2,Murkrow,dark,flying,"Insomnia, Super Luck, Prankster",2,https://pokemondb.net/pokedex/Murkrow
Archen,3,Torracat,fire,,"Blaze, Intimidate",7,https://pokemondb.net/pokedex/Torracat
Archen,4,Monferno,fire,fighting,"Blaze, Iron Fist",4,https://pokemondb.net/pokedex/Monferno
Archen,5,Combusken,fire,fighting,"Blaze, Speed Boost",3,https://pokemondb.net/pokedex/Combusken
Archen,6,Zangoose,normal,,"Immunity, Toxic Boost",3,https://pokemondb.net/pokedex/Zangoose
Archen,7,Seviper,poison,,"Shed Skin, Infiltrator",3,https://pokemondb.net/pokedex/Seviper
Archen,8,Magby,fire,,"Flame Body, Vital Spirit",2,https://pokemondb.net/pokedex/Magby
Archen,9,Ponyta,fire,,"Run Away, Flash Fire, Flame Body",1,https://pokemondb.net/pokedex/Ponyta
Archen,10,Mightyena,dark,,"Intimidate, Quick Feet, Moxie",3,https://pokemondb.net/pokedex/Mightyena
Archeops,1,Sharpedo,water,dark,"Rough Skin, Speed Boost",3,https://pokemondb.net/pokedex/Sharpedo
Archeops,2,Absol,dark,,"Pressure, Super Luck, Justified",3,https://pokemondb.net/pokedex/Absol
Archeops,3,Azelf,psychic,,Levitate,4,https://pokemondb.net/pokedex/Azelf
Archeops,4,Glalie,ice,,"Inner Focus, Ice Body, Moody",3,https://pokemondb.net/pokedex/Glalie
Archeops,5,Electivire,electric,,"Motor Drive, Vital Spirit",4,https://pokemondb.net/pokedex/Electivire
Archeops,6,Blaziken,fire,fighting,"Blaze, Speed Boost",3,https://pokemondb.net/pokedex/Blaziken
Archeops,7,Lucario,fighting,steel,"Steadfast, Inner Focus, Justified",4,https://pokemondb.net/pokedex/Lucario
Archeops,8,Landorus,ground,flying,"Sand Force, Sheer Force, Intimidate",5,https://pokemondb.net/pokedex/Landorus
Archeops,9,Arcanine,fire,,"Intimidate, Flash Fire, Justified",1,https://pokemondb.net/pokedex/Arcanine
Archeops,10,Greninja,water,dark,"Torrent, Protean, Battle Bond",6,https://pokemondb.net/pokedex/Greninja
Ariados,1,Marshtomp,water,ground,"Torrent, Damp",3,https://pokemondb.net/pokedex/Marshtomp
Ariados,2,Pupitar,rock,ground,Shed Skin,2,https://pokemondb.net/pokedex/Pupitar
Ariados,3,Eelektrik,electric,,Levitate,5,https://pokemondb.net/pokedex/Eelektrik
Ariados,4,Grotle,grass,,"Overgrow, Shell Armor",4,https://pokemondb.net/pokedex/Grotle
Ariados,5,Zweilous,dark,dragon,Hustle,5,https://pokemondb.net/pokedex/Zweilous
Ariados,6,Machoke,fighting,,"Guts, No Guard, Steadfast",1,https://pokemondb.net/pokedex/Machoke
Ariados,7,Parasect,bug,grass,"Effect Spore, Dry Skin, Damp",1,https://pokemondb.net/pokedex/Parasect
Ariados,8,Dartrix,grass,flying,"Overgrow, Long Reach",7,https://pokemondb.net/pokedex/Dartrix
Ariados,9,Mudbray,ground,,"Own Tempo, Stamina, Inner Focus",7,https://pokemondb.net/pokedex/Mudbray
Ariados,10,Croconaw,water,,"Torrent, Sheer Force",2,https://pokemondb.net/pokedex/Croconaw
Armaldo,1,Druddigon,dragon,,"Rough Skin, Sheer Force, Mold Breaker",5,https://pokemondb.net/pokedex/Druddigon
Armaldo,2,Dhelmise,ghost,grass,Steelworker,7,https://pokemondb.net/pokedex/Dhelmise
Armaldo,3,Lurantis,grass,,"Leaf Guard, Contrary",7,https://pokemondb.net/pokedex/Lurantis
Armaldo,4,Machamp,fighting,,"Guts, No Guard, Steadfast",1,https://pokemondb.net/pokedex/Machamp
Armaldo,5,Golurk,ground,ghost,"Iron Fist, Klutz, No Guard",5,https://pokemondb.net/pokedex/Golurk
Armaldo,6,Torterra,grass,ground,"Overgrow, Shell Armor",4,https://pokemondb.net/pokedex/Torterra
Armaldo,7,Beartic,ice,,"Snow Cloak, Slush Rush, Swift Swim",5,https://pokemondb.net/pokedex/Beartic
Armaldo,8,Toucannon,normal,flying,"Keen Eye, Skill Link, Sheer Force",7,https://pokemondb.net/pokedex/Toucannon
Armaldo,9,Bisharp,dark,steel,"Defiant, Inner Focus, Pressure",5,https://pokemondb.net/pokedex/Bisharp
Armaldo,10,Crustle,bug,rock,"Sturdy, Shell Armor, Weak Armor",5,https://pokemondb.net/pokedex/Crustle
Aromatisse,1,Gastrodon,water,ground,"Sticky Hold, Storm Drain, Sand Force",4,https://pokemondb.net/pokedex/Gastrodon
Aromatisse,2,Amoonguss,grass,poison,"Effect Spore, Regenerator",5,https://pokemondb.net/pokedex/Amoonguss
Aromatisse,3,Stunfisk,ground,electric,"Static, Limber, Sand Veil",5,https://pokemondb.net/pokedex/Stunfisk
Aromatisse,4,Reuniclus,psychic,,"Overcoat, Magic Guard, Regenerator",5,https://pokemondb.net/pokedex/Reuniclus
Aromatisse,5,Musharna,psychic,,"Forewarn, Synchronize, Telepathy",5,https://pokemondb.net/pokedex/Musharna
Aromatisse,6,Clefable,fairy,,"Cute Charm, Magic Guard, Unaware",1,https://pokemondb.net/pokedex/Clefable
